category,airdate,created_at,question,updated_at,value,answer,game_id,category_id,invalid_count,id
"{u'updated_at': u'2014-02-11T22:47:18.706Z', u'created_at': u'2014-02-11T22:47:18.706Z', u'id': 2, u'clues_count': 45, u'title': u'baseball'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.829Z,The Atlanta Braves are in this division of the National League,2014-02-11T22:47:18.829Z,100,the Western division,,2,,2
"{u'updated_at': u'2014-02-11T22:47:18.718Z', u'created_at': u'2014-02-11T22:47:18.718Z', u'id': 3, u'clues_count': 35, u'title': u'odd jobs'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.841Z,Eliza Doolittle did it for a living,2014-02-11T22:47:18.841Z,100,sold flowers (flower girl accepted),,3,,3
"{u'updated_at': u'2014-02-11T22:47:18.740Z', u'created_at': u'2014-02-11T22:47:18.740Z', u'id': 5, u'clues_count': 20, u'title': u'australia'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.867Z,1 of 2 animals on its coat of arms,2014-02-11T22:47:18.867Z,100,(1 of) kangaroo and emu,,5,,5
"{u'updated_at': u'2014-02-11T22:47:18.750Z', u'created_at': u'2014-02-11T22:47:18.750Z', u'id': 6, u'clues_count': 5, u'title': u'""cat"" egory'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.878Z,"Malcolm McDowell & Nastassja Kinski's ""purr""fect roles in 1982",2014-02-11T22:47:18.878Z,100,cat people,,6,,6
"{u'updated_at': u'2014-02-11T22:47:18.687Z', u'created_at': u'2014-02-11T22:47:18.687Z', u'id': 1, u'clues_count': 30, u'title': u'politics'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.889Z,"Traditionally speaking, as this state goes, ""so goes the nation""",2014-02-11T22:47:18.889Z,200,Maine,,1,,7
"{u'updated_at': u'2014-02-11T22:47:18.706Z', u'created_at': u'2014-02-11T22:47:18.706Z', u'id': 2, u'clues_count': 45, u'title': u'baseball'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.901Z,"Eddie Gaedel, number 1/8th, was the only one ever to play in the Major Leagues",2014-02-11T22:47:18.901Z,200,a midget,,2,,8
"{u'updated_at': u'2014-02-11T22:47:18.718Z', u'created_at': u'2014-02-11T22:47:18.718Z', u'id': 3, u'clues_count': 35, u'title': u'odd jobs'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.912Z,"In the Old West they were in charge of horses, on a movie set in charge of chickens",2014-02-11T22:47:18.912Z,200,wranglers,,3,,9
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.923Z,Title describing Tom Cruise's precarious commercial enterprise,2014-02-11T22:47:18.923Z,200,<i>Risky Business</i>,,4,,10
"{u'updated_at': u'2014-02-11T22:47:18.740Z', u'created_at': u'2014-02-11T22:47:18.740Z', u'id': 5, u'clues_count': 20, u'title': u'australia'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.934Z,"Title of this song, which actually means ""to tramp the roads with a backpack""",2014-02-11T22:47:18.934Z,,"""Waltzing Matilda""",,5,,11
"{u'updated_at': u'2014-02-11T22:47:18.750Z', u'created_at': u'2014-02-11T22:47:18.750Z', u'id': 6, u'clues_count': 5, u'title': u'""cat"" egory'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.947Z,Ancient weapon kept a stone's throw from its target,2014-02-11T22:47:18.947Z,200,a catapult,,6,,12
"{u'updated_at': u'2014-02-11T22:47:18.687Z', u'created_at': u'2014-02-11T22:47:18.687Z', u'id': 1, u'clues_count': 30, u'title': u'politics'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.959Z,"""Shrill"" name for train tour electioneering",2014-02-11T22:47:18.959Z,300,a whistle stop,,1,,13
"{u'updated_at': u'2014-02-11T22:47:18.706Z', u'created_at': u'2014-02-11T22:47:18.706Z', u'id': 2, u'clues_count': 45, u'title': u'baseball'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.970Z,"Now a paper company sales rep, he pitched only perfect game in World Series history",2014-02-11T22:47:18.970Z,300,Don Larsen,,2,,14
"{u'updated_at': u'2014-02-11T22:47:18.718Z', u'created_at': u'2014-02-11T22:47:18.718Z', u'id': 3, u'clues_count': 35, u'title': u'odd jobs'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.981Z,"He solemnly swears you in, in court",2014-02-11T22:47:18.981Z,300,a bailiff,,3,,15
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:18.993Z,Film where Lily Tomlin is really Steve Martin's better half,2014-02-11T22:47:18.993Z,300,<i>All of Me</i>,,4,,16
"{u'updated_at': u'2014-02-11T22:47:18.740Z', u'created_at': u'2014-02-11T22:47:18.740Z', u'id': 5, u'clues_count': 20, u'title': u'australia'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.004Z,"""Satanic"" mammal found only on island S. of Australia",2014-02-11T22:47:19.004Z,300,Tasmanian devil,,5,,17
"{u'updated_at': u'2014-02-11T22:47:18.750Z', u'created_at': u'2014-02-11T22:47:18.750Z', u'id': 6, u'clues_count': 5, u'title': u'""cat"" egory'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.015Z,It gets things going in a chemical reaction,2014-02-11T22:47:19.015Z,300,a catalyst,,6,,18
"{u'updated_at': u'2014-02-11T22:47:18.687Z', u'created_at': u'2014-02-11T22:47:18.687Z', u'id': 1, u'clues_count': 30, u'title': u'politics'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.026Z,The rooster was symbol of this party before Thomas Nast drew their new one in 1870,2014-02-11T22:47:19.026Z,400,the Democrats,,1,,19
"{u'updated_at': u'2014-02-11T22:47:18.706Z', u'created_at': u'2014-02-11T22:47:18.706Z', u'id': 2, u'clues_count': 45, u'title': u'baseball'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.037Z,"Boston's ""Green Monster"" is in this stadium",2014-02-11T22:47:19.037Z,400,Fenway Park,,2,,20
"{u'updated_at': u'2014-02-11T22:47:18.718Z', u'created_at': u'2014-02-11T22:47:18.718Z', u'id': 3, u'clues_count': 35, u'title': u'odd jobs'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.049Z,"Ub Iwerks, Friz Freleng & Tex Avery drew the line at this job",2014-02-11T22:47:19.049Z,400,cartoonists (or animators),,3,,21
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.061Z,Mozart's middle name becomes a movie,2014-02-11T22:47:19.061Z,400,<i>Amadeus</i>,,4,,22
"{u'updated_at': u'2014-02-11T22:47:18.750Z', u'created_at': u'2014-02-11T22:47:18.750Z', u'id': 6, u'clues_count': 5, u'title': u'""cat"" egory'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.084Z,Elizabeth Taylor character that could have burnt her paws on a hot tin roof,2014-02-11T22:47:19.084Z,400,Maggie the Cat,,6,,24
"{u'updated_at': u'2014-02-11T22:47:18.687Z', u'created_at': u'2014-02-11T22:47:18.687Z', u'id': 1, u'clues_count': 30, u'title': u'politics'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.095Z,"He called himself ""the plain people's pres. against the privileged people's Congress""",2014-02-11T22:47:19.095Z,500,Harry S. Truman,,1,,25
"{u'updated_at': u'2014-02-11T22:47:18.706Z', u'created_at': u'2014-02-11T22:47:18.706Z', u'id': 2, u'clues_count': 45, u'title': u'baseball'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.107Z,"In '84, he became 1st manager to win over 100 games with teams in both Major Leagues",2014-02-11T22:47:19.107Z,500,Sparky Anderson,,2,,26
"{u'updated_at': u'2014-02-11T22:47:18.740Z', u'created_at': u'2014-02-11T22:47:18.740Z', u'id': 5, u'clues_count': 20, u'title': u'australia'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.140Z,,2014-02-11T22:47:19.140Z,,Sparky Anderson,,5,,29
"{u'updated_at': u'2014-02-11T22:47:18.750Z', u'created_at': u'2014-02-11T22:47:18.750Z', u'id': 6, u'clues_count': 5, u'title': u'""cat"" egory'}",1985-02-08T12:00:00.000Z,2014-02-11T22:47:19.151Z,"During one in a hospital, your brain should think ""cheese""",2014-02-11T22:47:19.151Z,500,a CAT scan,,6,,30
"{u'updated_at': u'2014-02-11T22:47:19.485Z', u'created_at': u'2014-02-11T22:47:19.485Z', u'id': 7, u'clues_count': 245, u'title': u'u.s. cities'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.557Z,Alaskan city renamed this because ships docked there,2014-02-11T22:47:19.557Z,100,Anchorage,,7,,31
"{u'updated_at': u'2014-02-11T22:47:19.499Z', u'created_at': u'2014-02-11T22:47:19.499Z', u'id': 8, u'clues_count': 35, u'title': u'time'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.570Z,Watch named for the vibrating crystal that runs it,2014-02-11T22:47:19.570Z,100,quartz,,8,,32
"{u'updated_at': u'2014-02-11T22:47:19.510Z', u'created_at': u'2014-02-11T22:47:19.510Z', u'id': 9, u'clues_count': 20, u'title': u'dining out'}",1984-12-14T12:00:00.000Z,2014-02-11T22:47:19.582Z,"Shortened from French meaning ""master of hotel"", he greets you & seats you",2014-02-11T22:47:19.582Z,100,maitre d\',,9,,33
